section_id,basin_id,run,ok,lat,lon,station_along_ft,thalweg_elev_ft,bankfull_depth_ft,topbank_depth_ft,d100_above_thalweg_ft
CC-MS-1100_r0_007,CC-MS-1100,0,1,35.26188431152518,-83.18259639401886,2250.0,2216.17,2.79,4.3,5.25
CC-MS-1100_r0_008,CC-MS-1100,0,1,35.26254287357842,-83.1821124850567,2550.0,2212.77,2.12,5.43,4.67
CC-MS-1100_r0_009,CC-MS-1100,0,1,35.26335448799058,-83.18219772178514,2850.0,2209.56,2.02,3.87,3.76
CC-MS-1100_r0_010,CC-MS-1100,0,0,35.26416890194372,-83.18209875128207,3150.0,2207.19,0.9,9.39,4.35
CC-MS-1100_r0_011,CC-MS-1100,0,1,35.26494383773664,-83.18222431134613,3450.0,2204.63,1.4,1.61,4.64
CC-MS-1100_r0_012,CC-MS-1100,0,1,35.26565116336128,-83.18274245375265,3750.0,2201.3,1.44,3.15,5.33
CC-MS-1100_r0_013,CC-MS-1100,0,1,35.266415729398894,-83.18272774797174,4050.0,2198.24,2.03,3.44,4.26
CC-MS-1100_r0_014,CC-MS-1100,0,1,35.26722983326735,-83.1828850834377,4350.0,2194.7,3.11,4.11,4.37
CC-MS-1100_r0_015,CC-MS-1100,0,1,35.268005387555384,-83.18277685173828,4650.0,2193.4,1.99,2.48,2.75
CC-MS-1100_r0_016,CC-MS-1100,0,1,35.26863545783406,-83.18253372160152,4950.0,2189.9,2.16,2.24,5.05
CC-MS-1100_r0_017,CC-MS-1100,0,1,35.26920879524075,-83.1820885439544,5250.0,2187.5,1.49,1.64,3.42
CC-MS-1100_r0_018,CC-MS-1100,0,1,35.270018934092676,-83.1821367469462,5550.0,2184.35,2.15,2.3,4.56
CC-MS-1100_r0_019,CC-MS-1100,0,1,35.27083614005395,-83.1820851782447,5850.0,2181.26,1.58,2.16,4.82
CC-MS-1100_r0_020,CC-MS-1100,0,1,35.27163076465468,-83.18206919521822,6150.0,2178.21,2.53,3.57,4.81
CC-MS-1100_r0_021,CC-MS-1100,0,1,35.27236309457469,-83.18250913830889,6450.0,2175.81,3.61,3.97,6.56
CC-MS-1100_r0_022,CC-MS-1100,0,1,35.27316582982557,-83.18272164268136,6750.0,2174.48,1.42,1.42,10.85
CC-MS-1100_r0_023,CC-MS-1100,0,0,35.27388964357352,-83.18233773037302,7050.0,2171.67,1.77,6.29,4.77
CC-MS-1100_r0_024,CC-MS-1100,0,1,35.27467253506042,-83.18258815032422,7350.0,2168.85,3.19,5.07,4.84
CC-MS-1100_r0_025,CC-MS-1100,0,1,35.275451998979804,-83.18283140881543,7650.0,2165.24,2.0,3.37,5.12
CC-MS-1100_r0_026,CC-MS-1100,0,0,35.27627565463095,-83.18285759679333,7950.0,2163.27,0.37,2.83,3.55
CC-MS-1100_r0_027,CC-MS-1100,0,1,35.27705871261184,-83.18306142304138,8250.0,2160.98,1.36,1.81,5.35
CC-MS-1100_r0_028,CC-MS-1100,0,1,35.277573784645284,-83.18377667754139,8550.0,2159.03,1.46,2.04,4.12
CC-MS-1100_r0_029,CC-MS-1100,0,1,35.278308272894975,-83.1842346275852,8850.0,2155.53,2.76,2.88,4.95
CC-MS-1100_r0_030,CC-MS-1100,0,1,35.27906897768628,-83.18457536277799,9150.0,2154.94,1.65,3.52,4.47
CC-MS-1100_r0_031,CC-MS-1100,0,1,35.27982707364159,-83.18496442779674,9450.0,2152.04,2.68,2.79,4.42
CC-MS-1100_r0_032,CC-MS-1100,0,1,35.28058611173436,-83.18534767026054,9750.0,2151.62,1.16,1.82,3.57
CC-MS-1100_r0_033,CC-MS-1100,0,1,35.281332275329476,-83.18576500577647,10050.0,2149.22,1.32,1.66,3.56
CC-MS-1100_r1_034,CC-MS-1100,1,1,35.256214238117124,-83.16356872981297,150.0,3499.58,1.97,3.27,6.01
CC-MS-1100_r1_035,CC-MS-1100,1,1,35.25581194584841,-83.1644311255887,450.0,3430.8,3.69,5.36,7.35
CC-MS-1100_r1_036,CC-MS-1100,1,1,35.25555489300223,-83.16538530954554,750.0,3334.22,3.26,8.33,7.78
CC-MS-1100_r1_037,CC-MS-1100,1,1,35.25548850698755,-83.16639150447342,1050.0,3239.22,3.9,4.86,7.41
CC-MS-1100_r1_038,CC-MS-1100,1,1,35.25539572114624,-83.1673854028163,1350.0,3107.2,3.91,4.44,8.19
CC-MS-1100_r1_039,CC-MS-1100,1,1,35.25491792826196,-83.1682039227095,1650.0,3021.88,3.0,6.91,6.9
CC-MS-1100_r1_040,CC-MS-1100,1,1,35.25460464993816,-83.16913420612774,1950.0,2950.45,2.68,4.95,7.17
CC-MS-1100_r1_041,CC-MS-1100,1,1,35.25411610520451,-83.16994525745665,2250.0,2856.52,1.28,4.04,5.75
CC-MS-1100_r1_042,CC-MS-1100,1,0,35.25376973596672,-83.17086031870714,2550.0,2809.43,2.34,10.56,6.37
CC-MS-1100_r1_043,CC-MS-1100,1,1,35.253585897532474,-83.17184436033568,2850.0,2760.31,5.3,6.84,9.59
CC-MS-1100_r1_044,CC-MS-1100,1,1,35.25319911905978,-83.17272486019957,3150.0,2656.38,4.84,8.84,8.1
CC-MS-1100_r1_045,CC-MS-1100,1,1,35.25274908889392,-83.17354261519058,3450.0,2552.06,3.4,7.59,9.24
CC-MS-1100_r1_046,CC-MS-1100,1,1,35.252572855366644,-83.17452874194016,3750.0,2486.4,4.27,7.31,6.85
CC-MS-1100_r1_047,CC-MS-1100,1,1,35.25268066650457,-83.17552548356265,4050.0,2439.9,1.28,2.02,5.8
CC-MS-1100_r1_048,CC-MS-1100,1,1,35.253061750143104,-83.17638959040804,4350.0,2407.78,1.26,2.71,6.46
CC-MS-1100_r1_049,CC-MS-1100,1,1,35.253488141997096,-83.17724648211333,4650.0,2368.03,2.17,2.37,6.71
CC-MS-1100_r1_050,CC-MS-1100,1,0,35.25383689534549,-83.17816112476876,4950.0,2337.59,0.42,1.71,5.18
CC-MS-1100_r1_051,CC-MS-1100,1,1,35.25430301190216,-83.17898703848792,5250.0,2307.24,1.54,1.66,3.82
CC-MS-1100_r1_052,CC-MS-1100,1,1,35.2548645033177,-83.1797222549084,5550.0,2279.7,0.71,1.35,4.33
CC-MS-1100_r1_053,CC-MS-1100,1,0,35.25546567712454,-83.18041279802799,5850.0,2263.25,0.2,2.11,4.34
CC-MS-1100_r1_054,CC-MS-1100,1,1,35.25606685093138,-83.18110334114759,6150.0,2249.95,1.06,1.19,3.39
CC-MS-1100_r2_055,CC-MS-1100,2,1,35.247371169413626,-83.18632010584015,150.0,2305.88,2.34,4.86,5.63
CC-MS-1100_r2_056,CC-MS-1100,2,0,35.248138261244364,-83.18607089864801,450.0,2300.4,1.74,7.32,4.99
CC-MS-1100_r2_057,CC-MS-1100,2,1,35.24890052022727,-83.18571211069568,750.0,2292.27,2.37,2.72,4.96
CC-MS-1100_r2_058,CC-MS-1100,2,0,35.2497071210992,-83.18550475306213,1050.0,2288.12,0.13,1.84,2.6
CC-MS-1100_r2_059,CC-MS-1100,2,1,35.25034735230936,-83.1848822613241,1350.0,2279.84,2.18,2.29,3.81
CC-MS-1100_r2_060,CC-MS-1100,2,1,35.251023794374234,-83.18434762365705,1650.0,2272.64,2.75,3.49,4.58
CC-MS-1100_r2_061,CC-MS-1100,2,1,35.25159327636313,-83.18370380960026,1950.0,2267.66,1.18,2.39,4.39
CC-MS-1100_r2_062,CC-MS-1100,2,1,35.25234657157831,-83.18332715244165,2250.0,2262.36,2.53,2.81,4.83
CC-MS-1100_r2_063,CC-MS-1100,2,1,35.253144789021945,-83.18326672870022,2550.0,2258.4,1.35,1.73,4.31
CC-MS-1100_r2_064,CC-MS-1100,2,1,35.25395025518124,-83.18305285626751,2850.0,2254.12,2.3,3.67,4.58
CC-MS-1100_r2_065,CC-MS-1100,2,1,35.25475572134052,-83.18283898383478,3150.0,2249.54,2.45,2.87,4.67
CC-MS-1100_r2_066,CC-MS-1100,2,1,35.255541452084216,-83.18254419332625,3450.0,2246.59,0.61,1.46,3.5
CC-MS-1100_r2_067,CC-MS-1100,2,0,35.25618031945027,-83.18195132321249,3750.0,2244.21,0.05,0.05,2.57
CC-MS-1100_r3_068,CC-MS-1100,3,0,35.24414689160029,-83.18717600207869,150.0,2358.13,0.46,5.81,4.49
CC-MS-1100_r3_069,CC-MS-1100,3,1,35.244899908808485,-83.18677193501225,450.0,2345.96,1.61,4.46,5.96
CC-MS-1100_r3_070,CC-MS-1100,3,0,35.24570600399792,-83.18662321160207,750.0,2334.85,2.28,12.93,4.77
CC-MS-1100_r3_071,CC-MS-1100,3,1,35.24651827720083,-83.18645825947765,1050.0,2319.14,7.25,13.25,6.25
CC-MS-1100_r4_072,CC-MS-1100,4,1,35.23816709476377,-83.17218964948769,150.0,3244.26,0.85,2.24,3.3
CC-MS-1100_r4_073,CC-MS-1100,4,1,35.23883449229131,-83.17278194846307,450.0,3192.34,3.26,9.49,6.03
CC-MS-1100_r4_074,CC-MS-1100,4,0,35.239612407521406,-83.17311426172947,750.0,3150.47,0.4,1.11,3.73
CC-MS-1100_r4_075,CC-MS-1100,4,1,35.24037116076987,-83.173504079856,1050.0,3112.44,2.64,5.59,5.6
CC-MS-1100_r4_076,CC-MS-1100,4,0,35.241049474329174,-83.17406483191253,1350.0,3072.86,0.04,0.46,5.94
CC-MS-1100_r4_077,CC-MS-1100,4,1,35.24168428607851,-83.17470863090749,1650.0,3046.82,0.9,2.59,4.12
CC-MS-1100_r4_078,CC-MS-1100,4,0,35.24231724232845,-83.17535493096523,1950.0,3019.17,1.12,5.41,4.62
CC-MS-1100_r4_079,CC-MS-1100,4,0,35.242901069288,-83.17606745332388,2250.0,2995.87,0.56,4.54,5.44
CC-MS-1100_r4_080,CC-MS-1100,4,1,35.24362490644537,-83.17653493991689,2550.0,2974.37,1.51,2.75,5.54
CC-MS-1100_r4_081,CC-MS-1100,4,1,35.244388888633985,-83.17690439406213,2850.0,2934.66,2.15,6.4,6.31
CC-MS-1100_r4_082,CC-MS-1100,4,1,35.24511667826729,-83.17732698129647,3150.0,2908.51,2.83,7.56,6.87
CC-MS-1100_r4_083,CC-MS-1100,4,1,35.24536344993829,-83.17827911968276,3450.0,2838.26,3.33,6.01,7.99
CC-MS-1100_r4_084,CC-MS-1100,4,1,35.24558422339466,-83.1792517029945,3750.0,2725.49,4.7,5.93,7.09
CC-MS-1100_r4_085,CC-MS-1100,4,1,35.245804996851035,-83.18022428630626,4050.0,2633.45,4.19,9.69,6.71
CC-MS-1100_r4_086,CC-MS-1100,4,0,35.246025770307405,-83.18119686961799,4350.0,2576.52,0.41,8.25,6.47
CC-MS-1100_r4_087,CC-MS-1100,4,1,35.246246543763775,-83.18216945292974,4650.0,2532.12,0.67,1.67,4.16
CC-MS-1100_r4_088,CC-MS-1100,4,1,35.24639371934633,-83.18316257684458,4950.0,2495.3,4.56,5.96,6.76
CC-MS-1100_r4_089,CC-MS-1100,4,0,35.24656471189088,-83.18414927736514,5250.0,2422.06,2.62,20.96,6.56
CC-MS-1100_r4_090,CC-MS-1100,4,1,35.246774827675935,-83.18512539603938,5550.0,2348.63,6.62,7.64,6.4
